symbol,Datetime,Open,High,Low,Close,Volume,trade_count,vwap
META,2025-11-04 20:30:00+00:00,629.47,629.52,628.74,628.895,76286.0,2507.0,628.967187
META,2025-11-04 20:31:00+00:00,628.897,628.92,628.54,628.725,40803.0,1534.0,628.744729
META,2025-11-04 20:32:00+00:00,628.7678,629.11,628.7678,628.94,29954.0,1318.0,628.965547
META,2025-11-04 20:33:00+00:00,628.92,629.0,628.8,628.895,43356.0,1511.0,628.907465
META,2025-11-04 20:34:00+00:00,628.9,628.95,628.51,628.595,57317.0,1891.0,628.719458
META,2025-11-04 20:35:00+00:00,628.5897,629.37,628.5,629.365,51720.0,1864.0,628.922075
META,2025-11-04 20:36:00+00:00,629.42,630.3087,629.42,630.095,50580.0,1496.0,629.792883
META,2025-11-04 20:37:00+00:00,630.04,630.25,629.87,630.07,37338.0,1292.0,630.059477
META,2025-11-04 20:38:00+00:00,630.12,630.39,629.8,630.33,55445.0,1844.0,630.169678
META,2025-11-04 20:39:00+00:00,630.35,630.38,629.9101,629.97,37823.0,1297.0,630.174803
META,2025-11-04 20:40:00+00:00,629.97,630.0199,629.7188,629.81,33056.0,1348.0,629.912617
META,2025-11-04 20:41:00+00:00,629.825,630.1399,629.7662,630.05,99575.0,1492.0,629.99806
META,2025-11-04 20:42:00+00:00,629.99,630.275,629.8,630.03,57481.0,1613.0,630.072151
META,2025-11-04 20:43:00+00:00,630.05,630.2399,629.77,629.955,43331.0,1645.0,629.982593
META,2025-11-04 20:44:00+00:00,629.9203,630.1199,629.79,630.0,47868.0,1424.0,629.965363
META,2025-11-04 20:45:00+00:00,630.05,630.24,629.64,629.81,52833.0,1698.0,630.023728
META,2025-11-04 20:46:00+00:00,629.81,629.98,629.55,629.8687,45289.0,1565.0,629.824116
META,2025-11-04 20:47:00+00:00,629.8422,629.97,629.555,629.555,34318.0,1334.0,629.771966
META,2025-11-04 20:48:00+00:00,629.5501,629.8822,628.98,629.13,71214.0,2254.0,629.320302
META,2025-11-04 20:49:00+00:00,629.12,629.14,628.57,628.71,84936.0,2462.0,628.822082
META,2025-11-04 20:50:00+00:00,628.7,628.7,627.39,627.7105,134390.0,4769.0,627.882047
META,2025-11-04 20:51:00+00:00,627.75,627.805,627.12,627.54,85345.0,3012.0,627.493372
META,2025-11-04 20:52:00+00:00,627.54,627.9,627.39,627.74,109565.0,3447.0,627.61744
META,2025-11-04 20:53:00+00:00,627.79,627.88,627.4,627.54,110161.0,3463.0,627.628162
META,2025-11-04 20:54:00+00:00,627.58,627.99,626.57,626.94,149610.0,7416.0,627.44614
META,2025-11-04 20:55:00+00:00,627.03,627.18,626.01,626.75,201610.0,7058.0,626.874124
META,2025-11-04 20:56:00+00:00,626.74,626.83,626.2801,626.57,192513.0,6207.0,626.611182
META,2025-11-04 20:57:00+00:00,626.57,627.94,626.45,627.15,317585.0,10810.0,627.069115
META,2025-11-04 20:58:00+00:00,627.13,627.43,627.1,627.4,216383.0,6791.0,627.32
META,2025-11-04 20:59:00+00:00,627.375,627.8,627.05,627.42,412548.0,11653.0,627.313649
META,2025-11-04 21:00:00+00:00,627.4,627.65,627.0,627.6,2447105.0,428.0,627.320539
META,2025-11-04 21:01:00+00:00,627.64,627.64,627.46,627.46,33933.0,262.0,627.553359
META,2025-11-04 21:02:00+00:00,627.46,627.5,627.3,627.5,46605.0,323.0,627.429949
META,2025-11-04 21:03:00+00:00,627.32,627.57,627.2,627.5,280107.0,371.0,627.466536
META,2025-11-04 21:04:00+00:00,627.08,627.5,626.45,627.0,3395.0,341.0,626.791997
META,2025-11-04 21:05:00+00:00,627.2,628.0,627.15,627.71,3716.0,199.0,627.633136
META,2025-11-04 21:06:00+00:00,627.5,627.7,627.2,627.2,8442.0,190.0,627.344663
META,2025-11-04 21:07:00+00:00,627.1,627.3,626.87,627.0008,2968.0,276.0,627.006874
META,2025-11-04 21:08:00+00:00,627.24,627.25,626.57,626.57,4406.0,204.0,626.860406
META,2025-11-04 21:09:00+00:00,626.5,626.99,626.37,626.78,2150.0,168.0,626.61876
META,2025-11-04 21:10:00+00:00,626.65,627.0,626.2,626.3,4987.0,320.0,626.522724
META,2025-11-04 21:11:00+00:00,626.75,626.9197,626.5,626.7,6735.0,152.0,626.743082
META,2025-11-04 21:12:00+00:00,626.8838,626.8838,626.6,626.69,1709.0,182.0,626.684323
META,2025-11-04 21:13:00+00:00,626.5009,626.6662,626.5009,626.59,2063.0,150.0,626.600195
META,2025-11-04 21:14:00+00:00,626.64,626.87,626.3,626.86,3902.0,361.0,626.473733
META,2025-11-04 21:15:00+00:00,626.91,626.91,626.32,626.7,2005.0,208.0,626.598748
META,2025-11-04 21:16:00+00:00,626.6,626.7557,626.36,626.5,3553.0,168.0,626.554819
META,2025-11-04 21:17:00+00:00,626.5,626.5,626.32,626.32,3995.0,244.0,626.42344
META,2025-11-04 21:18:00+00:00,626.32,626.325,626.22,626.3,2736.0,230.0,626.293499
META,2025-11-04 21:19:00+00:00,626.5,626.5,626.31,626.4,2008.0,146.0,626.465355
META,2025-11-04 21:20:00+00:00,626.3251,626.5,626.19,626.29,2757.0,140.0,626.32849
META,2025-11-04 21:21:00+00:00,626.19,626.28,626.19,626.1915,2079.0,202.0,626.208767
META,2025-11-04 21:22:00+00:00,626.1502,626.2873,626.14,626.15,2942.0,304.0,626.180571
META,2025-11-04 21:23:00+00:00,626.2,626.29,626.14,626.15,6001.0,377.0,626.217004
META,2025-11-04 21:24:00+00:00,626.1432,626.15,625.5,625.64,17015.0,1719.0,625.954995
META,2025-11-04 21:25:00+00:00,625.6,625.98,625.5,625.6122,5997.0,371.0,625.617022
META,2025-11-04 21:26:00+00:00,625.52,625.61,625.35,625.5,3299.0,386.0,625.41977
META,2025-11-04 21:27:00+00:00,625.5,625.8991,625.42,625.8991,5051.0,276.0,625.596264
META,2025-11-04 21:28:00+00:00,625.77,625.95,625.43,625.91,4866.0,215.0,625.787655
META,2025-11-04 21:29:00+00:00,625.7,625.92,625.43,625.5,3487.0,270.0,625.549808
META,2025-11-04 21:30:00+00:00,625.5,637.71,625.43,625.4515,5353.0,193.0,625.736922
META,2025-11-04 21:31:00+00:00,625.63,626.55,625.5063,626.5431,5657.0,251.0,626.082516
META,2025-11-04 21:32:00+00:00,626.5,626.7,626.35,626.59,6443.0,231.0,626.51143
META,2025-11-04 21:33:00+00:00,626.59,626.6,626.51,626.535,1757.0,188.0,626.586414
META,2025-11-04 21:34:00+00:00,626.52,626.85,626.52,626.7,2337.0,199.0,626.619015
META,2025-11-04 21:35:00+00:00,626.65,626.82,626.43,626.6,1662.0,140.0,626.650283
META,2025-11-04 21:36:00+00:00,626.74,626.74,626.4,626.73,1103.0,151.0,626.584353
META,2025-11-04 21:37:00+00:00,626.77,626.77,626.5049,626.64,1173.0,152.0,626.623542
META,2025-11-04 21:38:00+00:00,626.5,626.5,626.3,626.49,30803.0,158.0,626.353753
META,2025-11-04 21:39:00+00:00,626.1,626.3,626.0,626.17,2252.0,189.0,626.060818
